liste;ID;Titre;Sous-titre;Édition;Type;EAN;"Prix indicatif";Joueur(s);Durée;Age(s);Langues;Univers;Gamme(s);Catégorie(s);Thème(s);Mécanisme(s);Éditeur(s);Auteur(s);Illustrateur(s)
Expert;40854;Mariposas;;2020;basegame;3421272327812;39,9;"2 — 5";"45 — 75";14+;français;;Mariposas;"Jeu de plateau";Animaux,Écologie,Insectes,Papillons;Collection,Déplacement;Gigamic;"Elizabeth Hargrave";"Indi Maverick,Matt Paquette"
Famille;80750;"Flip 7";;2025;basegame;3760273010461;15;3+;20;8+;français;;"Flip 7";"Jeu de Cartes";Chiffres;"Chance & Hasard,Combinaison,Prise de risque,Stop ou encore";"Catch Up Games,The OP";"Eric Olsen";"O'neil Mabile"
"Nouveautés 2025";91452;"Butterfly Effect - Le Manoir De Hill Sing";;2025;basegame;3760371751259;0;"1 — 6";"90 — 120";12+;français;;"Butterfly Effect";"Jeu de Cartes";"Fantômes & Esprits";Coopération,Narration,Roleplay,Solo;"La Boite De Jeu";"Quentin Guidotti";"Miguel Coimbra"
"Nouveautés 2025";62286;"Escape Game Pocket - Enigmes et jeux de réflexion pour les enfants";;2022;basegame;8005125525423;7,99;"1 — 6";"30 — 60";8+;français;;"Escape game pocket";"Escape Game";"Enquêtes & Mystères";Déduction,Énigme,Logique,Observation,Roleplay;Clementoni;"Francesco Berardi";"Massimo Di Leo"
"Nouveautés 2025";59767;"Cartaventura Odyssée - Le trésor de Libertalia";;2022;basegame;3770005767396;15,29;"1 — 6";20;6+;français;;"Cartaventura,Cartaventura Odyssée";"Jeu de Cartes";Aventure,Exploration,Pirates;Narration,Scénarios;"Blam !";"Ophélie Gibert,Thomas Dupont";"Guillaume Bernon,Jeanne Landart"
"Nouveautés 2025";83753;"Backstories - L'Embrasement";;2026;basegame;3760371751235;18;"1 — 6";60;14+;français;;Backstories;"Jeu de Cartes";"Enquêtes & Mystères";"Choix multiples,Coopération,Déduction,Manipulation,Narration,Scénarios";"La Boite De Jeu";"Anthony Perone,Jules Messaud";"Cyrille Bertin"
"Nouveautés 2025";91268;"IQ Carat";;2025;basegame;5414301527183;0;Solo;"15 — 30";14+;français;;IQ;Casse-tête;Abstrait,Bijoux;Logique,Manipulation,Observation,Puzzle;"Smart Games";;
"Nouveautés 2025";86511;"Mon Puzzle Aventure - Phobos";;2025;basegame;9782492939129;18,9;Solo;"30 — 60";"5 — 10";français;;"Mon Puzzle Aventure";Puzzle;"Aventure,Espace,Robots & Mechas";Logique,Observation,Puzzle;"Game Flow";"Antonin Boccara,Romaric Galonnier";"Arnaud Boutle"
"Nouveautés 2025";82267;"Spy Guy - Aventure D'hiver";;2025;standalone;5900511026399;17;"1 — 4";20;5+;français,anglais,allemand,espagnol,italien,néerlandais;;"Spy Guy";"Jeu de plateau";"Enquêtes & Mystères";Coopération,Observation;Trefl;"Mariusz Majchrowski";"Michat Ambrzykowski,Tatsiana Korbut"
"Nouveautés 2025";73779;"Story Box - Rêves et Cauchemars";;2024;basegame;3760308480481;13;"2 — 8";15;8+;français;;"Dream on !,Story Box";"Jeu de Cartes";Onirique;"Construction Narrative,Mémorisation";"Tiki Editions";"Alexandre Droit,Julien Prothière";"Victor Dulon"
"Nouveautés 2025";91486;"Unlock! Short Adventures - Le Cœur De L'océan";;2025;basegame;3558380136408;0;"1 — 6";30;10+;français;;"Unlock!,Unlock! Short Adventures";"Escape Game";"Enquêtes & Mystères";Coopération,Déduction,Énigme,Logique,Observation,Roleplay;"Space Cowboys";"Cyril Demaegd,Germain Winzenschtark,Lauranne Boivin";"Crocotame Studio"
"Nouveautés 2025";74980;"Echoes - Le Croc";"Jeu D'enquête Audio";2024;basegame;4005556223848;10;"1 — 4";60;14+;français;;Echoes;"Jeu D'Enquête";"Enquêtes & Mystères";Déduction,Son;Ravensburger;"Dave Neale";"Samuel Bourguignon"
"Nouveautés 2025";88635;"Echoes - Le Médaillon";"Jeu D'enquête Audio";2025;basegame;4005556228867;12;"1 — 4";"40 — 60";14+;français;;Echoes;"Jeu D'Enquête";"Enquêtes & Mystères";Déduction,Son;Ravensburger;"Dave Neale,Matthew Dunstan";"Harnickell Design,Samuel Bourguignon"
"Nouveautés 2025";84585;"Echoes - Le Titanic";;2025;basegame;4005556247394;10,5;"1 — 4";"40 — 60";14+;français;;Echoes;"Jeu D'Enquête";"Enquêtes & Mystères";Coopération,Déduction;Ravensburger;"Dave Neale,Matthew Dunstan";"Harnickell Design,Samuel Bourguignon"
"Nouveautés 2025";59409;"Echoes - L'Anneau";"Jeu d'enquête audio";2022;basegame;4005556209323;10,5;"1 — 6";60;14+;français;;Echoes;"Jeu D'Enquête";"Enquêtes & Mystères";Coopération,Déduction;Ravensburger;"Dave Neale,Matthew Dunstan";"Samuel Bourguignon"
"Nouveautés 2025";67418;"Huis Clos - Le Manoir Winsbury";"Saison 1";2022;basegame;7421094523030;23,75;"1 — 6";"30 — 60";14+;français;;"Huis Clos";"Jeu D'Enquête";"Enquêtes & Mystères";Coopération,Déduction,Scénarios;"Ôz Editions,Riviera Games";"Florent Wilmart,Pierre Christen";"Jules Dubost"
LOKI;85350;"Joyeux Bazar";;2025;basegame;3701551703835;15,9;"1 — 5";10;3+;français;;;"Jeu d'Observation";"Enfants,Jouets,Vie quotidienne";"Association d'idées,Observation";Loki;"Corentin Lebrat,Jonathan Favre-Godal";"Henk Van Der Gugten"
LOKI;89079;"Le Miniz Club";;2025;basegame;3701551704528;16;"1 — 4";"15 — 46";4+;français;;;"Jeu D'Enquête";Animaux;Coopération;Loki;"Dave Neale";"Yogesh Mahajan"
"Petite Enfance";23795;"Little Action";;2016;basegame;3070900085572;18;"2 — 4";10;"2 — 5";français,anglais,allemand,espagnol;;"Little Djeco";"Jeu d'Ambiance";Animaux;"Adresse & Dextérité,Défis";Djeco;;
"Casse/ Perte";22438;"La Marche des Pingouins";;2015;basegame;5414301518051;9;Solo;15;5+;français;;"Travel Magnetic Games";"Casse-tête,Jeu de plateau,Jeu de tuiles";"Abstrait,Animaux,Formes,Pingouins & Manchots";"Construction,Déduction,Défis,Logique,perception visuelle,Placement de tuiles,Puzzle,Réflexion,Solo";"Smart Games";"Raf Peeters";
Puzzles;78666;"Puzzle - Chez nut";;2014;basegame;3070900014817;22;Solo;"10 — 30";2+;français;;;Puzzle;Animaux;Logique,Observation,Puzzle;Djeco;;"Géraldine Cosneau"
Puzzles;93072;"Puzzle - Pirate";"36 Pièces";2021;basegame;3700217329228;18,99;Solo;"5 — 20";4+;français;;;Puzzle;Pirates;Logique,Observation,Puzzle;Janod;;
Puzzles;39777;"Puzzle Silhouette - Edmond le Dragon";"24 Pièces";2019;basegame;3070900072145;10,9;Solo;10;3+;français;;"Puzzle Silhouette";Puzzle;Dragons;"Association d'idées,Observation,Puzzle,Solo";Djeco;;
